date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:54	4800/4800	---M--	200	added ('OK')	image/webp	etag:%2212c0-67da8d01-d302b73b44e76daa;;;%22	https://html.themewant.com/invena/assets/images/banner/shape/01.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/banner/shape/01.webp	(from https://html.themewant.com/invena/index.html)
21:42:54	2634/2634	---M--	200	added ('OK')	image/webp	etag:%22a4a-67da8d01-38d4336ef4f22ebb;;;%22	https://html.themewant.com/invena/assets/images/banner/shape/02.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/banner/shape/02.webp	(from https://html.themewant.com/invena/index.html)
21:42:55	4400/4400	---M--	200	added ('OK')	image/webp	etag:%221130-67da8d01-c37af81677ece2cf;;;%22	https://html.themewant.com/invena/assets/images/banner/shape/03.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/banner/shape/03.webp	(from https://html.themewant.com/invena/index.html)
21:42:56	15698/15698	---M--	200	added ('OK')	image/webp	etag:%223d52-67da8d01-e6b78db880413f57;;;%22	https://html.themewant.com/invena/assets/images/banner/shape/04.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/banner/shape/04.webp	(from https://html.themewant.com/invena/index.html)
21:42:56	24026/24026	---M--	200	added ('OK')	image/webp	etag:%225dda-67f62953-573d4b7c223da1de;;;%22	https://html.themewant.com/invena/assets/images/about/04.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/04.webp	(from https://html.themewant.com/invena/index.html)
21:42:56	14774/14774	---M--	200	added ('OK')	image/webp	etag:%2239b6-67da8d01-6710172f2f6e4611;;;%22	https://html.themewant.com/invena/assets/images/about/05.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/05.webp	(from https://html.themewant.com/invena/index.html)
21:42:57	16961/16961	---M-Z	200	added ('OK')	image/svg+xml	etag:%224241-67da8d01-19584480a2985352;gz%22	https://html.themewant.com/invena/assets/images/about/sign.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/sign.svg	(from https://html.themewant.com/invena/index.html)
21:42:57	573/573	---M-Z	200	added ('OK')	image/svg+xml	etag:%2223d-67da8d01-e1f071e52f797171;gz%22	https://html.themewant.com/invena/assets/images/about/shape/01.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/shape/01.svg	(from https://html.themewant.com/invena/index.html)
21:42:58	12044/12044	---M-Z	200	added ('OK')	image/svg+xml	etag:%222f0c-67da8d01-9eb6ad5533083b26;gz%22	https://html.themewant.com/invena/assets/images/about/shape/02.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/shape/02.svg	(from https://html.themewant.com/invena/index.html)
21:42:58	5494/5494	---M-Z	200	added ('OK')	image/svg+xml	etag:%221576-67da8d01-fd8d3adb73000233;gz%22	https://html.themewant.com/invena/assets/images/service/icons/01.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/service/icons/01.svg	(from https://html.themewant.com/invena/index.html)
21:42:58	3419/3419	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d5b-67da8d01-e25b16a3e3ee739d;gz%22	https://html.themewant.com/invena/assets/images/service/icons/02.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/service/icons/02.svg	(from https://html.themewant.com/invena/index.html)
21:42:58	7558/7558	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d86-67da8d01-d79397ac24ac3222;gz%22	https://html.themewant.com/invena/assets/images/service/icons/03.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/service/icons/03.svg	(from https://html.themewant.com/invena/index.html)
21:42:59	5765/5765	---M-Z	200	added ('OK')	image/svg+xml	etag:%221685-67da8d01-259f0a678199e00c;gz%22	https://html.themewant.com/invena/assets/images/about/icons/01.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/icons/01.svg	(from https://html.themewant.com/invena/index.html)
21:42:59	12610/12610	---M-Z	200	added ('OK')	image/svg+xml	etag:%223142-67da8d01-e0e73d6666879593;gz%22	https://html.themewant.com/invena/assets/images/about/icons/02.svg	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/about/icons/02.svg	(from https://html.themewant.com/invena/index.html)
21:42:59	26188/26188	---M--	200	added ('OK')	image/webp	etag:%22664c-67f62953-e8b466242baa6bf9;;;%22	https://html.themewant.com/invena/assets/images/business-goal/02.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/business-goal/02.webp	(from https://html.themewant.com/invena/index.html)
21:43:00	13332/13332	---M--	200	added ('OK')	image/webp	etag:%223414-67f62953-7a2b88b725fcbc2c;;;%22	https://html.themewant.com/invena/assets/images/business-goal/01.webp	C:/My%20Web%20Sites/Re-Start/html.themewant.com/invena/assets/images/business-goal/01.webp	(from https://html.themewant.com/invena/index.html)
